TopicID,Parent,Sibling,Title,Description,TranslateTo,Links
convexHull,extremeElementMethod,5,Izliektā čaula un balsta taisnes plaknē,Izliektā čaula un balsta taisnes plaknē,,https://problems.ru/view_by_subject_new.php?parent=360
arrangingInIncreasingOrder,extremeElementMethod,6,Sakārtojums augošā secībā,Sakārtojums augošā secībā,,https://problems.ru/view_by_subject_new.php?parent=1692
otherExtremeElement,extremeElementMethod,7,Citas ekstrēmā elementa metodes,Citas ekstrēmā elementa metodes,,https://problems.ru/view_by_subject_new.php?parent=361
classicalInvariants,invariantMethod,1,Klasiskā invariantu metode,Klasiskā invariantu metode,,https://problems.ru/view_by_subject_new.php?parent=613
semiInvariants,invariantMethod,2,Invariantu metode novērtējumiem,Invariantu metode novērtējumiem jeb pusinvarianti,,https://problems.ru/view_by_subject_new.php?parent=614
otherInvariants,invariantMethod,3,Citi invariantu paveidi,Citi invariantu paveidi,,https://problems.ru/view_by_subject_new.php?parent=615
chessboardColoring,coloringMethod,1,Šaha galdiņa krāsojums,Šaha galdiņa krāsojums,,https://problems.ru/view_by_subject_new.php?parent=366
otherColorings,coloringMethod,2,Citas krāsojumu metodes,Citas krāsojumu metodes,,https://problems.ru/view_by_subject_new.php?parent=367
completingTheSquare,algebraicMethods,1,Pilnā kvadrāta atdalīšana,Pilnā kvadrāta atdalīšana,,https://problems.ru/view_by_subject_new.php?parent=956
methodOfInfiniteDescent,algebraicMethods,2,Pazemināšanas metode,Pazemināšanas metode,,https://problems.ru/view_by_subject_new.php?parent=676
workingBackwards,algebraicMethods,3,Risināšana no beigām,Risināšana no beigām,,https://problems.ru/view_by_subject_new.php?parent=677
countingInTwoWays,algebraicMethods,4,Saskaitīšana divos veidos,Saskaitīšana divos veidos,,https://problems.ru/view_by_subject_new.php?parent=678
partitioningInPairsBijections,algebraicMethods,5,"Sadalījums pāros vai grupās, bijekcijas","Sadalījums pāros vai grupās, bijekcijas",,https://problems.ru/view_by_subject_new.php?parent=679
iterationMethod,algebraicMethods,6,Iterācijas,Iterācijas,,https://problems.ru/view_by_subject_new.php?parent=680
applyingAlgebraicProcedures,algebraicMethods,7,Algebriski procesi un operācijas,Algebriski procesi un operācijas,,https://problems.ru/view_by_subject_new.php?parent=681
caseAnalysis,algebraicMethods,8,Gadījumu pārlase,Gadījumu pārlase,,https://problems.ru/view_by_subject_new.php?parent=682
replacingVariables,algebraicMethods,9,Mainīgo ieviešana,Mainīgo ieviešana,,https://problems.ru/view_by_subject_new.php?parent=1193
involutionTransformationsInAlgebra,algebraicMethods,10,Simetrija un involūcijas pārveidojumi,Simetrija un involūcijas pārveidojumi,,https://problems.ru/view_by_subject_new.php?parent=692
applyingTrigonometricFormulas,geometricMethods,1,Trigonometrijas formulu izmantošana,Trigonometrijas formulu izmantošana,,https://problems.ru/view_by_subject_new.php?parent=683
analyticalMethodInGeometry,geometricMethods,2,Analītiskā metode ģeometrijā,Analītiskā metode ģeometrijā,,https://problems.ru/view_by_subject_new.php?parent=684
complexNumbersInGeometry,geometricMethods,3,Kompleksie skaitļi ģeometrijā,Kompleksie skaitļi ģeometrijā,,https://problems.ru/view_by_subject_new.php?parent=685
extendingToSpace,geometricMethods,4,Pāreja uz telpisku uzdevumu,Pāreja uz telpisku uzdevumu,,https://problems.ru/view_by_subject_new.php?parent=686
geometricInterpretationsInAlgebra,geometricMethods,5,Ģeometriskas interpretācijas algebrā,Ģeometriskas interpretācijas algebrā,,https://problems.ru/view_by_subject_new.php?parent=1083
coordinateMethod,geometricMethods,6,Koordinātu metode,Koordinātu metode,,https://problems.ru/view_by_subject_new.php?parent=687
usingContinuity,analysisMethods,1,Nepārtrauktības izmantošana,Nepārtrauktības izmantošana,,https://problems.ru/view_by_subject_new.php?parent=688
usingCommensurability,analysisMethods,2,Samērojamības izmantošana,Samērojamības izmantošana,,https://problems.ru/view_by_subject_new.php?parent=689
usingMonotonicityAndBoundedness,analysisMethods,3,Monotonitātes un ierobežotības izmantošana,Monotonitātes un ierobežotības izmantošana,,https://problems.ru/view_by_subject_new.php?parent=690
usingSmallPerturbations,analysisMethods,4,Mazo izmaiņu metode,Mazo izmaiņu metode,,https://problems.ru/view_by_subject_new.php?parent=691
otherAnalysisMethods,analysisMethods,5,Citas analīzes metodes,Citas analīzes metodes,,https://problems.ru/view_by_subject_new.php?parent=857
funGames,gameTheory,1,Nenopietni spēļu uzdevumi,Nenopietni spēļu uzdevumi,,https://problems.ru/view_by_subject_new.php?parent=239
symmetricStrategyGames,gameTheory,2,Simetriska stratēģija,Simetriska stratēģija,,https://problems.ru/view_by_subject_new.php?parent=241
winningLosingPositions,gameTheory,3,Uzvarošas un zaudējošas spēļu pozīcijas,Uzvarošas un zaudējošas spēļu pozīcijas,,https://problems.ru/view_by_subject_new.php?parent=242
otherGameTheory,gameTheory,4,Cita spēļu teorija,Cita spēļu teorija,,https://problems.ru/view_by_subject_new.php?parent=264
nestedSegmentsLemma,completenessOfRealNumbers,1,Lemma par iekļautajiem nogriežņiem,Lemma par iekļautajiem nogriežņiem,,https://problems.ru/view_by_subject_new.php?parent=870
jensenInequality,convexAndConcaveFunctions,1,Jensena nevienādība,Jensena nevienādība,,https://problems.ru/view_by_subject_new.php?parent=1268
otherConvexAndConcave,convexAndConcaveFunctions,2,Citi par izliektību un ieliektību,Citi par izliektību un ieliektību,,https://problems.ru/view_by_subject_new.php?parent=1269
integralLinearProperty,integralProperties,1,Integrāļa linearitāte,Integrāļa linearitāte,,https://problems.ru/view_by_subject_new.php?parent=928
integralAdditiveProperty,integralProperties,2,Integrāļa aditivitāte,Integrāļa aditivitāte,,https://problems.ru/view_by_subject_new.php?parent=929
integralAndPrimitiveFunction,integralAndDerivative,1,Integrālis un primitīvā funkcija,Integrālis un primitīvā funkcija,,https://problems.ru/view_by_subject_new.php?parent=919
integrationByParts,integralAndDerivative,2,Integrēšana pa daļām,Integrēšana pa daļām,,https://problems.ru/view_by_subject_new.php?parent=920
integralAndLength,usingIntegrals,1,Integrālis un garums,Integrālis un garums,,https://problems.ru/view_by_subject_new.php?parent=914
integralAndArea,usingIntegrals,2,Integrālis un laukums,Integrālis un laukums,,https://problems.ru/view_by_subject_new.php?parent=915
otherIntegralUses,usingIntegrals,3,Citi integrāļa lietojumi,Citi integrāļa lietojumi,,https://problems.ru/view_by_subject_new.php?parent=918
