L1,L2,L3,L4,L5,Label,ShortName,Description,TranslateTo,
2,5,1,1,2,div.valu.prop.other,Valuācijas saskaitīšana,Izmantot valuāciju saskaitīšanu citiem gariem reizinājumiem,ValuationProperties,
2,5,1,2,0,div.valu.prop.sum,Summas valuācija,Izmantot faktu: skaitļu summas valuācija ir vismaz saskaitāmo valuāciju minimums,ValuationProperties,
2,5,1,3,0,div.valu.prop.min,Minimālā valuācija,"Izmantot faktu: skaitļu summas valuācija ir saskaitāmo valuāciju minimums, ja tās atšķiras",ValuationProperties,
2,5,2,0,0,div.valu.change,p-valuācijas izmaiņas,Izmantot p-valuācijas funkcijas vērtību izmaiņas,ValuationChange,
3,0,0,0,0,mod,Atlikumi,"Izmantot spriedumus par skaitļu atlikumiem, dalot ar to pašu",CongruenceClasses,
3,1,0,0,0,mod.fix,Atlikumu galīgums,"Izmantot atlikumu sistēmas galīgumu pēc neliela, fiksēta moduļa",CongruenceClasses,
3,1,1,0,0,mod.fix.parity,Skaitļu paritāte,Izmantot spriedumus par skaitļu paritāti; Pāriet uz galīga skaita gadījumu aplūkošanu atkarībā no pāra/nepāra,ModularParity,
3,1,2,0,0,mod.fix.lastdigits,Pēdējie cipari,"Izmantot skaitļa pēdējos n ciparus kā atlikumu, dalot ar 10^n. Secināt par atlikumiem (dalot ar 10, 100, 2, 5 u.c.), zinot skaitļu decimālpieraksta pēdējo ciparu vai ciparus.",ModularArithmeticOther,
3,1,3,0,0,mod.fix.clock,Laika cikli,Secināt par saskaitīšanu un atņemšanu pēc 12 stundu ciparnīcas vai nedēļas cikla.,ModularArithmeticOther,
3,2,0,0,0,mod.congr,Kongruences,Izmantot apgalvojumus par skaitļa izteikšanu ar dalījumu un atlikumu (a=bq+r) un kongruenču klases.,IntegerCongruence,
3,2,1,0,0,mod.congr.classes,Kongruenču klases,"Izmantot apgalvojumu, ka atlikumi (mod d) pieņem d vērtības",CongruenceClasses,
3,2,2,0,0,mod.congr.sumdiff,Summu un starpību kongruence,"Secināt, ka summas/starpības $a_1+b_1$ un $a_2+b_2$ kongruenti (mod m), ja kongruenti $a_1$ ar $a_2$ un $b_1$ ar $b_2$",ModularArithmetic,
3,2,3,0,0,mod.congr.prod,Reizinājumu kongruence,"Secināt, ka $a_1 \cdot b_1$ un $a_2 \cdot b_2$ kongruenti (mod m), ja kongruenti $a_1$ ar $a_2$ un $b_1$ ar $b_2$",ModularArithmetic,
3,2,4,0,0,mod.congr.pow,Pakāpju kongruence,"Secināt, ka $(a_1)^n$ un $(a_2)^n$ kongruenti (mod m), ja kongruenti $a_1$ ar $a_2$",ModularArithmetic,
3,2,5,0,0,mod.congr.poly,Polinomu kongruence,"Secināt $P(x)$ vērtību kongruenci, ja polinoma argumenti ir kongruenti",ModularArithmetic,
3,4,0,0,0,mod.exp,Eksponentu atlikumi,Izmantot eksponentfunkciju atlikumu īpašības.,PeriodicRemainders,
3,4,1,0,0,mod.exp.period,Periodiskums,Izmantot eksponentfunkciju atlikumu periodiskumu.,PeriodicRemainders,
