L1,L2,L3,L4,L5,Label,ShortDescription,BestSamples,Comments
5,4,0,0,0,seq.gaps,Izmantot spriedumus par dažu virkņu kaimiņu locekļu starpībām,,
5,4,1,0,0,seq.gaps.squares,"Izmantot to, ka pilnu kvadrātu atstarpes aug aritmētiskā progresijā.",,
5,4,2,0,0,seq.gaps.cubes,"Izmantot to, ka pilnu kubu atstarpes aug kā kvadrātiska funkcija",,
5,4,3,0,0,seq.gaps.geom,"Izmantot to, ka 2^n locekļu starpības aug ģeometriskā progresijā.",,
6,0,0,0,0,comb,Izmantot kombinatoriskus spriedumus,,
6,1,0,0,0,comb.full,Veikt pilno pārlasi,,
6,1,1,0,0,comb.full.backtrack,Meklēt ar apakšgadījumu koka apstaigāšanu,,
6,1,2,0,0,comb.full.syntax,"Sistemātiski pārbaudīt visus sintakses kokus (piemēram, aritmētisku izteiksmju rēbusos)",,
6,2,0,0,0,comb.count,"Saskaitīt variantus, izmantojot kombinatorisko analīzi",,
6,2,1,0,0,comb.count.mult,"Izmantot ""reizināšanas likumu"" novērtējot kombināciju skaitu",,
6,2,1,1,0,comb.count.mult.rep,"Izmantot reizināšanas likumu,  ja iespējami atkārtojumi",,
6,2,1,2,0,comb.count.mult.norep,Izmantot reizināšanas likumu bez atkārtojumiem,,
6,2,2,0,0,comb.count.complement,Skaitīt elementus interesējošās kopas papildinājumam/starpībai,,
6,2,3,0,0,comb.count.inclexcl,"Izmantot ""ieslēgšanas-izslēgšanas"" saskaitīšanu",,
6,3,0,0,0,comb.graph,Izmantot grafu rezultātus,,
6,3,1,0,0,comb.graph.bipartite,Izmantot apgalvojumus par divdaļīgiem grafiem,,
6,3,2,0,0,comb.graph.bfs,"Lietot ""breadth first search"" algoritmu kokveida grafa apstaigāšanai",,
6,3,3,0,0,comb.graph.cycle,"Atrast orientētā/neorientētā grafā ciklu ar īpašību (Eilera, Hamiltona, visgarāko, utml.)",,
6,4,0,0,0,comb.constr,Konstruēt piemērus atbilstoši dotajām īpašībām,,
6,4,1,0,0,comb.constr.alpha,"Konstruēt, aizpildot alfabētiskā secībā",,
